product_id;code_public;name_full
42769;ahoj;"Regulace vzor"
43398;QYE003;"Lambda sonda pro kotle s řídicí jednotkou APC CENTER"
43399;TCH20002;"NTC drátové venkovní čidlo"
43400;TCH20004;"Teplotní čidlo NTC (250cm)"
43401;TCH19006;"Sada pro řízení doplňování paliva externím dopravníkem do automatických kotlů"
43402;QYE004;"Čidlo teploty TUV pro HydroPell"
43403;QYE005;"Modul pro ovládání ventilu TUV pro HydroPell"
43404;TCH13046;"i-1m - přídavný modul pro ovládání směšovacícho ventilu a jeho čerpadla"
43405;QYERS007;"i-1 - modul pro řízení směšovacího ventilu s komunikací RS, včetně funkce ochrany zpátečky"
43406;TCH05007;"i-1 TUV - modul pro řízení směšovacího ventilu a okruhu TUV s komunikací RS, včetně funkce ochrany zpátečky"
43407;QYERS009;"i-2 - rozšiřující modul o dva směšovací okruhy pro kotle s řídící jednotkou s RS komunikací"
43408;QYERS010;"i-3 - rozšiřující modul o tři směšovací okruhy a solar pro kotle s řídící jednotkou s RS komunikací"
43409;QYERS004;"Bezdrátový internetový WI-FI modul DEFRO s RS komunikací"
43410;QYERS005;"Ethernetový modul DEFRO s RS komunikací"
43411;QYERS006;"GSM modul DEFRO s RS komunikací"
43412;QYERS003;"Komunikační sada RS - pro bezdrátovou RS komunikaci"
43413;QYERS001;"SPK LUX drátový - dotykový termostat DEFRO s RS komunikací"
43414;QYERS002;"SPK LUX bezdrátový - dotykový termostat DEFRO s RS komunikací"
43415;QYERS014;"Bezdrátový pokojový Thermostat BT5 B - pro kotel EVOPELL"
43416;QYERS015;"Bezdrátové teplotní čídlo BT4 - pro kotel EVOPELL"
43417;TCH15004;"ST-292 v3 bílý - termostat týdenní, drátové provedení, ON/OFF, napájení 2× AA"
43418;TCH15005;"ST-292 v3 černý - termostat týdenní, drátové provedení, ON/OFF, napájení 2× AA"
43419;TCH16003;"ST-292 v2 bílý - termostat týdenní, bezdrátové provedení, ON/OFF, napájení 2× AA vysílač, 230 V přijímač"
43420;TCH16004;"ST-292 v2 černý - termostat týdenní, bezdrátové provedení, ON/OFF, napájení 2× AA vysílač, 230 V přijímač"
43958;Vy12/15;"KRATKI Y kus 150/125mm"
43421;TCH15018;"T-5z WiFi bílý - dvoupolohový pokojový termostat s WiFi, s bezdrátovým čidlem prostoru, ON/OFF, montáž do krabice, 230 V"
43422;TCH18001;"EU-2801 WiFi bílý - pokojový termostat s OpenTherm komunikací, bezdrát. čidlo prostoru, montáž do krabice, 230 V"
43423;TCH18002;"EU-2801 WiFi černý - pokojový termostat s OpenTherm komunikací, bezdrát. čidlo prostoru, montáž do krabice, 230 V"
43424;TCH18003;"EU-WiFi OT - pokojový regulátor s OpenTherm komunikací, vč. termostatu EU-R-8b a bezdrát. venkovního čidla"
43425;QYE007;"ST-294 v2 - bezdrátový dvoupolohový termostat bez týdenního programu, ON/OFF, napájení 2× AAA"
43426;TCH09014;"EU-R-8s Plus bílý - bezdrátový pokojový termostat dvoupolohový s vestavěným čidlem vlhkosti"
43427;TCH14003;"EU-16S WiFi bílý - bezdrát. regulátor pro řízení bezdrátových elektrických pohonů pro až 16 zón"
43428;TCH10001;"EU-L-9r - univerzální zónová regulace termostatických ventilů pro až 8 zón"
43429;TCH13044;"STT-869 - bezdrátový elektrický pohon ventilu - radiátorový termostat"
43430;TCH13045;"G-X - bezdrátový radiátorový servopohon"
43431;QYERS011;"Teplotní čidlo KTY - 1,5 m"
43432;QYO025;"Teplotní čidlo KTY - 4 m"
43475;QYE011;"DEFRO HEAT Pohon DSM W pro směšovací ventily"
43957;QYH043;"DEFRO HEAT Termostatická patrona 72 °C"
43959;QYH022;"Magnetický filtr s vypouštěním pro čerpadlové skupiny se směšováním"
43949;"LERXDC 61";"ROMOTOP Designový krb LERA C G - světle šedivý thermaline"
43950;"LERXDC 62";"ROMOTOP Designový krb LERA C G - tmavě šedivý thermaline"
43951;"LERXDHC 61";"ROMOTOP Designový krb LERA C GH - světle šedivý thermaline"
43952;"LERXDHC 62";"ROMOTOP Designový krb LERA C GH - tmavě šedivý thermaline"
43953;"SOLXDHLZK 10";"ROMOTOP Akumulační kachlový krb Solid L"
43954;"SOLXDHRZK 10";"ROMOTOP Akumulační kachlový krb Solid R"
43940;"AKKUM KV 08FB";"AKUMULAČNÍ SADA PRSTENCŮ ROMOTOP MAMMOTH (8 ks) pro krbové vložky s vnitřním průměrem odkouření 200 mm (AKKUM KV 08FB)"
43818;"D3G 01M";"ROMOTOP Kamnová vložka DYNAMIC 3G 44.55.01M"
43819;"D3H 01A";"ROMOTOP Kamnová vložka DYNAMIC 3G 66.44.01A"
43820;"DT3H 01A";"ROMOTOP Kamnová vložka DYNAMIC T 3G 66.44.01A"
43821;"DB3H 01A";"ROMOTOP Kamnová vložka DYNAMIC B 3G 66.44.01A"
43822;"DB3H 01M";"ROMOTOP Kamnová vložka DYNAMIC B 3G 66.44.01M"
