product_id;code_public;name_full
41984;QDCGC251F;"DEFRO HEAT Kondenzační plynový kotel DCG COMFORT 25 1F"
42588;QYH040;"DEFRO HEAT Skupina pro ochranu zpátečky DEFROMAT 72"
41985;QDCGC252F;"DEFRO HEAT Kondenzační plynový kotel DCG COMFORT 25 2F"
43768;QKD019-12;"DEFRO HEAT kotel dřevozplyňující s ručním přikládáním OPTIMA EKO 12 kW"
43769;QKD019-16;"DEFRO HEAT kotel dřevozplyňující s ručním přikládáním OPTIMA EKO 16 kW"
43770;QKD019-20;"DEFRO HEAT kotel dřevozplyňující s ručním přikládáním OPTIMA EKO 20 kW"
42357;QKU001-36-P;"DEFRO HEAT Automatický kotel na černé uhlí SIGMA E 36 kW"
42358;QKU001-36-L;"DEFRO HEAT Automatický kotel na černé uhlí SIGMA E 36 kW s násypkou vlevo"
42359;QKU001-48-P;"DEFRO HEAT Automatický kotel na černé uhlí SIGMA E 48 kW"
42360;QKU001-48-L;"DEFRO HEAT Automatický kotel na černé uhlí SIGMA E 48 kW s násypkou vlevo"
42361;QKU001-69-P;"DEFRO HEAT Automatický kotel na černé uhlí SIGMA E 69 kW"
42362;QKU001-69-L;"DEFRO HEAT Automatický kotel na černé uhlí SIGMA E 69 kW s násypkou vlevo"
42458;QKU004-100-P;"DEFRO HEAT Automatický kotel na uhlí EKO Max 100 kW"
40393;21.06.080.0;"LIENBACHER Pěnový čistič krbových skel 300 ml"
42459;QKU004-100-L;"DEFRO HEAT Automatický kotel na uhlí EKO Max 100 kW s násypkou vlevo"
40394;21.06.081.0;"LIENBACHER Tekutý čistič krbových skel 500 ml"
42126;"HEL F";"ROMOTOP Designový krb HELIA F keramika"
42127;"HEL L";"ROMOTOP Designový krb HELIA L keramika"
42128;"HEL R";"ROMOTOP Designový krb HELIA R keramika"
42145;"SPI C1";"ROMOTOP Designový krb SPIRIT C1 keramika"
42146;"SPI C2";"ROMOTOP Designový krb SPIRIT C2 keramika"
42147;"SPI C2M";"ROMOTOP Designový krb SPIRIT C2 M keramika"
38704;"CARA C 02";"ROMOTOP Designový krb CARA C 02"
38705;"CARA C N 03";"ROMOTOP Designový krb CARA C N 03"
42825;Q48CASE;"Obestavba CASE 1 pro DEFRO HOME Impuls SM BP"
42826;Q47CASE;"Obestavba CASE 1 pro DEFRO HOME Impuls SM BL"
42827;Q27CASE;"Obestavba CASE 1 pro DEFRO HOME Intra SM C"
42466;QKP015-75-P;"DEFRO HEAT Automatický kotel na pelety EKOPELL Max 75 kW"
42467;QKP015-75-L;"DEFRO HEAT Automatický kotel na pelety EKOPELL Max 75 kW s násypkou vlevo"
42468;QKP015-100-P;"DEFRO HEAT Automatický kotel na pelety EKOPELL Max 100 kW"
42469;QKP015-100-L;"DEFRO HEAT Automatický kotel na pelety EKOPELL Max 100 kW s násypkou vlevo"
42470;QKP015-150-P;"DEFRO HEAT Automatický kotel na pelety EKOPELL Max 150 kW"
42471;QKP015-150-L;"DEFRO HEAT Automatický kotel na pelety EKOPELL Max 150 kW s násypkou vlevo"
42472;QKP015-200-P;"DEFRO HEAT Automatický kotel na pelety EKOPELL Max 200 kW"
42473;QKP015-200-L;"DEFRO HEAT Automatický kotel na pelety EKOPELL Max 200 kW s násypkou vlevo"
42474;QKP015-300-P;"DEFRO HEAT Automatický kotel na pelety EKOPELL Max 300 kW"
42475;QKP015-300-L;"DEFRO HEAT Automatický kotel na pelety EKOPELL Max 300 kW s násypkou vlevo"
42158;0571207510000;"HAAS & SOHN Peletová kamna HSP 1.17 II"
41666;S021320006-25;"TECHNO-PHYSIK Komínový prostup Schräder s izolací 2,5 cm Ø 250"
41659;S021315006-250-25;"TECHNO-PHYSIK Komínový prostup Schräder s izolací 2,5 cm Ø 200/240"
41658;S021315006-500-25;"TECHNO-PHYSIK Komínový prostup Schräder s izolací 2,5 cm Ø 200/480"
41662;S021316006-250-25;"TECHNO-PHYSIK Komínový prostup Schräder s izolací 2,5 cm Ø 210/240"
41661;S021316006-500-25;"TECHNO-PHYSIK Komínový prostup Schräder s izolací 2,5 cm Ø 210/480"
41665;S021318006-250-25;"TECHNO-PHYSIK Komínový prostup Schräder s izolací 2,5 cm Ø 230/240"
41664;S021318006-500-25;"TECHNO-PHYSIK Komínový prostup Schräder s izolací 2,5 cm Ø 230/480"
41668;S021320006-250-25;"TECHNO-PHYSIK Komínový prostup Schräder s izolací 2,5 cm Ø 250/240"
41667;S021320006-500-25;"TECHNO-PHYSIK Komínový prostup Schräder s izolací 2,5 cm Ø 250/480"
41671;S021315006-250-50;"TECHNO-PHYSIK Komínový prostup Schräder s izolací 5 cm Ø 250/240"
41670;S021315006-500-50;"TECHNO-PHYSIK Komínový prostup Schräder s izolací 5 cm Ø 250/480"
41674;S021316006-250-50;"TECHNO-PHYSIK Komínový prostup Schräder s izolací 5 cm Ø 260/240"
41673;S021316006-500-50;"TECHNO-PHYSIK Komínový prostup Schräder s izolací 5 cm Ø 260/480"
41677;S021318006-250-50;"TECHNO-PHYSIK Komínový prostup Schräder s izolací 5 cm Ø 280/240"
41676;S021318006-500-50;"TECHNO-PHYSIK Komínový prostup Schräder s izolací 5 cm Ø 280/480"
41680;S021320006-250-50;"TECHNO-PHYSIK Komínový prostup Schräder s izolací 5 cm Ø 300/240"
41679;S021320006-500-50;"TECHNO-PHYSIK Komínový prostup Schräder s izolací 5 cm Ø 300/480"
40388;21.02.658.2;"LIENBACHER Filcová taška – červená"
42027;Q51SC-AS;"Antirelfexní sklo pro VITAL 51 S C"
40395;21.06.062.0;"LIENBACHER Ochranné textilní rukavice"
42107;Q24DS;"Dvojité sklo pro INTRA SM T G"
42108;Q25DS;"Dvojité sklo pro INTRA ME T G"
42109;Q26DS;"Dvojité sklo pro INTRA LA T G"
40406;21.02.960.2;"LIENBACHER Silikonové těsnění pro podkladová skla"
40400;21.06.072.0;"LIENBACHER Zápalky 55 ks/krabička – délka 200 mm"
40899;21390.18;"ROKA Krycí manžeta 50 mm – Ø 180 mm"
40904;21391.2;"ROKA Krycí manžeta 100 mm – Ø 200 mm"
40905;21490.15;"ROKA Krycí deska s odvětráním – Ø 150 mm"
40907;21490.18;"ROKA Krycí deska s odvětráním – Ø 180 mm"
40908;21490.2;"ROKA Krycí deska s odvětráním – Ø 200 mm"
40914;21510.16;"ROKA Meidingerova hlava  Ø 160 mm"
40910;21540.16;"ROKA Zavěšovací objímka Ø 160 mm"
40911;21540.18;"ROKA Zavěšovací objímka Ø 180 mm"
40912;21540.2;"ROKA Zavěšovací objímka Ø 200 mm"
42206;22080.13;"ROKA Kondenzátní jímka bez vývodu Ø 130 mm"
40816;22080.15;"ROKA Kondenzátní jímka bez vývodu Ø 150 mm"
40817;22080.16;"ROKA Kondenzátní jímka bez vývodu – Ø 160 mm"
40818;22080.18;"ROKA Kondenzátní jímka bez vývodu – Ø 180 mm"
40819;22080.2;"ROKA Kondenzátní jímka bez vývodu – Ø 200 mm"
40878;22320.16;"ROKA Komínový díl 250 mm Ø 160 mm"
40879;22320.18;"ROKA Komínový díl 250 mm Ø 180 mm"
40880;22320.2;"ROKA Komínový díl 250 mm Ø 200 mm"
40869;22310.15;"ROKA Komínový díl 420 mm Ø 150 mm"
40870;22310.16;"ROKA Komínový díl 420 mm Ø 160 mm"
40871;22310.18;"ROKA Komínový díl 420 mm Ø 180 mm"
40872;22310.2;"ROKA Komínový díl 420 mm Ø 200 mm"
40822;22100.15;"ROKA Díl s kontrolním otvorem 150 x 250 mm Ø 150 mm"
40824;22100.18;"ROKA Díl s kontrolním otvorem 150 x 250 mm Ø 180 mm"
40825;22100.2;"ROKA Díl s kontrolním otvorem 150 x 250 mm Ø 200 mm"
40841;22190.15;"ROKA Sopouch 90° Ø 150 mm"
40843;22190.18;"ROKA Sopouch 90° Ø 180 mm"
40844;22190.2;"ROKA Sopouch 90° Ø 200 mm"
42210;22210.14;"ROKA Sopouch 60° Ø 140 mm"
40849;22210.15;"ROKA Sopouch 60° Ø 150 mm"
40851;22210.18;"ROKA Sopouch 60° Ø 180 mm"
40852;22210.2;"ROKA Sopouch 60° Ø 200 mm"
42216;22320.14;"ROKA Komínový díl 250 mm Ø 140 mm"
42215;22310.14;"ROKA Komínový díl 420 mm Ø 140 mm"
42214;22300.14;"ROKA Komínový díl 920 mm Ø 140 mm"
40858;22255.16;"ROKA Přestavitelné koleno 0° – 45° Ø 160 mm"
40859;22255.18;"ROKA Přestavitelné koleno 0° – 45° Ø 180 mm"
40860;22255.2;"ROKA Přestavitelné koleno 0° – 45° Ø 200 mm"
40863;22295.18;"ROKA Přestavitelné koleno 0° – 90° Ø 180 mm"
40864;22295.2;"ROKA Přestavitelné koleno 0° – 90° Ø 200 mm"
42211;22255.14;"ROKA Přestavitelné koleno 0° – 45° Ø 140 mm"
40923;22620.18;"ROKA Uzávěr sopouchu Ø 180 mm"
40980;22670.18016;"ROKA Převlečená redukce nerez/keramika – po vodě Ø 180/160 mm"
40981;22670.18018;"ROKA Převlečená redukce nerez/keramika – po vodě Ø 180/180 mm"
42217;22670.1202;"ROKA Převlečená redukce nerez/keramika – po vodě Ø 120/200 mm"
42220;23300.14;"ROKA Komínový díl 920 mm s tloušťkou plechu 0,8 mm Ø 140 mm"
40996;23300.16;"ROKA Komínový díl 920 mm s tloušťkou plechu 0,8 mm Ø 160 mm"
40997;23300.18;"ROKA Komínový díl 920 mm s tloušťkou plechu 0,8 mm Ø 180 mm"
40998;23300.2;"ROKA Komínový díl 920 mm s tloušťkou plechu 0,8 mm Ø 200 mm"
40999;23310.15;"ROKA Komínový díl 420 mm s tloušťkou plechu 0,8 mm Ø 150 mm"
42221;23310.14;"ROKA Komínový díl 420 mm s tloušťkou plechu 0,8 mm Ø 140 mm"
41000;23310.16;"ROKA Komínový díl 420 mm s tloušťkou plechu 0,8 mm Ø 160 mm"
41001;23310.18;"ROKA Komínový díl 420 mm s tloušťkou plechu 0,8 mm Ø 180 mm"
41002;23310.2;"ROKA Komínový díl 420 mm s tloušťkou plechu 0,8 mm Ø 200 mm"
41011;29190.18;"ROKA Sopouch 90° z žáruvzdorné nerezi RS 2900 s tloušťkou plechu 2 mm Ø 180 mm"
41013;29290.18;"ROKA Koleno 90° z žáruvzdorné nerezi RS 2900 s tloušťkou plechu 2 mm Ø 180 mm"
41014;29291.18;"ROKA Koleno s čistícím otvorem 90° z žáruvzdorné nerezi RS 2900 s tloušťkou plechu 2 mm Ø 180 mm"
41015;29292.18;"ROKA Koleno prodloužené 90° z žáruvzdorné nerezi RS 2900 s tloušťkou plechu 2 mm Ø 180 mm"
41016;29293.18;"ROKA Koleno prodloužené s čistícím otvorem 90° z žáruvzdorné nerezi RS 2900 s tloušťkou plechu 2 mm Ø 180 mm"
41017;29300.18;"ROKA Komínový díl 950 mm z žáruvzdorné nerezi RS 2900 Ø 180 mm"
41020;29323.18;"ROKA Spojovací díl z žáruvzdorné nerezi RS 2900 s tloušťkou plechu 2 mm Ø 180 mm"
41023;29680.18;"ROKA Přechodový díl Ø 160/180 mm z žáruvzdorné nerezi RS 2900 s tloušťkou plechu 2 mm"
41042;31040.485;"ROKA Pomocná konzola – délka 485 mm"
